        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout
      1884.0    19.840639   398.054184   495.862614  1009.781751     3.823448   158.082886    81.599885    76.483001    70.860265    72.605570          0.0   287.423965   282.028205    35.370003     4.760745
      1885.0    18.232846   402.034737   500.035951  1012.594088     3.704550   156.690600    79.811844    76.878756    70.627545    73.439882          0.0   287.423784   281.870304    35.432716     2.198625
      1886.0    17.279287   406.055086   503.387497  1014.990856     3.789109   157.872402    79.997529    77.874872    72.146756    74.543523          0.0   287.529261   282.072129    35.734238     2.102460
      1887.0    15.331836   410.115647   505.038307  1017.230284     3.656780   154.071834    77.699471    76.372363    71.568060    73.807488          0.0   287.752757   282.420518    35.404373     2.241173
      1888.0    17.763143   414.216757   507.239547  1019.225562     3.728324   156.830626    79.701440    77.129186    71.162475    73.157753          0.0   287.660375   282.342755    35.487518     4.342448
      1889.0    19.045719   418.358950   510.445159  1021.830241     4.043642   160.903019    81.689318    79.213701    72.303879    74.908558          0.0   287.624959   282.228322    35.691860     3.575148
      1890.0    15.839456   422.542563   512.190410  1024.657995     3.854248   154.173461    77.617088    76.556374    71.478845    74.306599          0.0   287.668279   282.213922    35.774872     1.565238
      1891.0    19.466674   426.767974   515.922459  1025.282813     4.067920   162.193717    82.488094    79.705623    73.087511    73.712329          0.0   287.494015   282.102988    35.912315     5.043716
      1892.0    20.975828   431.035585   520.406274  1028.311009     4.055404   167.809492    84.570990    83.238502    73.351475    76.379671          0.0   287.615909   282.244367    35.914970     3.707504
      1893.0    19.100950   435.346025   523.257118  1032.224394     4.151628   163.451007    82.517442    80.933565    73.370069    77.283454          0.0   287.707014   282.423483    35.908066     2.383144
      1894.0    18.752037   439.699476   526.208264  1034.798825     4.164552   164.498444    82.893054    81.605390    74.319746    76.894177          0.0   287.643464   282.320535    35.911072     3.047731
      1895.0    20.649100   444.096453   530.349735  1036.887550     4.272015   167.935935    84.764979    83.170956    74.469734    76.558459          0.0   287.570966   282.210975    35.931889     4.065050
      1896.0    17.903269   448.537405   532.967620  1039.692583     4.231505   163.097832    81.322044    81.775788    73.710759    76.515792          0.0   287.697802   282.269047    35.902596     2.188366
      1897.0    20.065984   453.022799   536.358630  1041.522669     4.031385   167.703824    84.785860    82.917964    74.995865    76.825951          0.0   287.694215   282.315807    35.836483     4.568899
      1898.0    20.028056   457.553066   539.964405  1044.373544     4.198201   169.917882    85.002609    84.915274    75.585035    78.435911          0.0   287.705888   282.252989    35.875141     2.960923
      1899.0    18.957951   462.128525   542.879383  1047.206902     4.233709   169.327036    84.703669    84.623367    76.603162    79.436520          0.0   287.739776   282.236289    35.854603     2.352172
      1900.0    16.914001   466.749844   544.697082  1049.543666     4.154163   164.858898    81.624278    83.234620    75.329580    77.666344          0.0   288.110801   282.938805    35.966137     2.140234
