        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0    -0.989776   284.496864   507.881740  1707.179996    -0.864052    87.118096    39.960248    47.157848    37.572000    37.252123     0.000000   286.910007   281.705820     0.000000     2.323352          0.0
      1851.0    -1.266093   284.564453   507.657321  1706.921072    -0.797834    87.426059    39.913664    47.512395    37.832749    37.573825     0.226044   287.090500   281.865228     0.794901     2.564257          0.0
      1852.0    -1.053976   284.654390   506.823712  1706.723102    -0.750473    87.275072    40.563220    46.711852    38.104421    37.906451     0.240591   287.010562   281.750161     1.514271     3.490379          0.0
      1853.0    -0.054794   284.750250   507.491558  1706.673036    -0.799827    88.734499    40.773501    47.960999    37.024433    36.974368     0.253292   286.882453   281.539876     2.157354     3.131287          0.0
      1854.0    -1.572268   284.841926   506.295039  1706.917044    -0.902403    86.337324    39.681561    46.655763    37.563617    37.807624     0.266718   286.884227   281.634689     2.729000     3.070456          0.0
      1855.0     0.037375   284.929897   506.426602  1707.068238    -0.982559    87.733703    40.663077    47.070626    36.599144    36.750339     0.279404   286.605137   281.094844     3.225332     3.781175          0.0
      1856.0    -1.108019   285.027145   506.027509  1707.287021    -0.877882    87.152358    40.015648    47.136710    37.322081    37.540863     0.294021   286.769816   281.340669     3.653014     2.873878          0.0
      1857.0    -0.568675   285.152732   505.840438  1707.135036    -0.727068    87.811844    40.209011    47.602833    37.297330    37.145345     0.305897   286.861175   281.474312     4.011060     3.250737          0.0
      1858.0     0.235697   285.288042   506.161415  1707.331389    -0.694520    89.483385    41.262895    48.220490    37.100310    37.296663     0.318913   286.687737   281.212711     4.302410     3.645255          0.0
      1859.0    -1.659042   285.431087   505.290474  1707.706489    -0.633627    86.612889    39.052305    47.560584    37.213201    37.588301     0.331503   286.987514   281.697515     4.527318     2.334944          0.0
      1860.0    -1.170081   285.596892   503.871317  1707.516011    -0.566457    86.458000    39.716578    46.741421    37.567229    37.376751     0.344981   286.975729   281.733547     4.635892     3.758984          0.0
      1861.0     0.064973   285.767910   504.522399  1707.386966    -0.718121    88.018199    40.638505    47.379695    37.016755    36.887710     0.234814   286.767162   281.339325     4.392282     3.099713          0.0
      1862.0     0.228684   285.929212   504.920087  1707.363875    -0.716451    90.439295    41.925746    48.513549    38.251248    38.228157     0.230095   286.843342   281.472031     4.170469     3.299901          0.0
      1863.0    -1.467379   286.094652   504.687000  1707.650471    -0.552609    86.406403    39.078550    47.327853    37.267187    37.553783     0.226442   286.939031   281.646430     3.973911     1.757853          0.0
      1864.0    -1.435148   286.263623   503.373704  1707.265906    -0.673107    84.919630    38.953248    45.966382    37.131517    36.746952     0.222158   286.941356   281.681434     3.799925     3.519592          0.0
      1865.0     0.747866   286.434816   504.167389  1707.092145    -0.595583    87.784921    40.747455    47.037466    36.672496    36.498735     0.217270   286.648068   281.284355     3.649630     3.455035          0.0
      1866.0    -1.251029   286.598331   503.957151  1707.402023    -0.599539    86.216130    39.057063    47.159067    37.084827    37.394705     0.213704   286.894879   281.584089     3.526656     1.872597          0.0
      1867.0    -1.170499   286.769031   503.206873  1707.080873    -0.850665    85.704871    39.214845    46.490026    37.221697    36.900547     0.209233   286.966184   281.708242     3.427220     3.064576          0.0
      1868.0    -0.100210   286.930030   503.331903  1707.288543    -0.553979    86.739299    39.855939    46.883360    36.819443    37.027112     0.205037   286.837458   281.445875     3.352412     2.703797          0.0
      1869.0    -1.079872   287.074762   502.952801  1707.434027    -0.698149    86.168620    39.756603    46.412017    37.369523    37.515007     0.199465   286.963784   281.686784     3.301920     2.620698          0.0
      1870.0     0.210891   287.219282   503.368788  1707.140470    -0.733596    87.184563    40.163370    47.021193    36.752327    36.458770     0.196103   286.915027   281.504819     3.309528     3.288613          0.0
      1871.0    -1.386484   287.367309   502.496771  1707.271955    -0.621316    85.730993    39.102610    46.628384    37.042248    37.173733     0.415457   287.028352   281.836426     4.092388     2.800893          0.0
      1872.0     0.933010   287.525782   502.427328  1707.031614    -0.431064    89.276151    41.448166    47.827985    37.393824    37.153484     0.431620   286.898992   281.541519     4.792367     4.364125          0.0
      1873.0    -0.877255   287.697815   501.763863  1707.510027    -0.439653    86.956027    39.564253    47.391774    37.327994    37.806406     0.447539   286.959628   281.639093     5.411525     2.421312          0.0
      1874.0     0.898470   287.880015   502.114072  1707.663847    -0.528336    89.984695    41.602459    48.382236    37.337541    37.491361     0.465132   286.793435   281.472127     5.958426     3.760888          0.0
      1875.0    -0.598924   288.082367   501.221747  1708.708594    -0.563083    86.285712    39.305317    46.980395    36.445882    37.490630     0.479200   286.814898   281.552831     6.416024     2.707013          0.0
      1876.0    -0.761389   288.287766   500.225990  1708.901871    -0.741343    86.962717    39.878804    47.083913    37.105866    37.299143     0.493943   286.847921   281.416175     6.788810     3.575418          0.0
