        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout
      1866.0     1.840808   286.258949   414.692433   965.313609     0.237749   122.231115    63.633130    58.597986    59.198547    58.597669     0.769674   286.689624   281.015609    56.164745     4.905175
      1867.0     1.217400   286.428785   415.613386   965.603668     0.268674   122.481012    63.313630    59.167382    59.277407    59.567467     0.766509   286.736290   281.107310    56.578140     2.825210
      1868.0     0.058824   286.577781   414.832921   966.296601     0.230106   119.711440    61.621835    58.089605    58.706640    59.399573     0.760378   286.646169   280.915726    56.793144     3.002727
      1869.0    -0.313400   286.702542   414.329876   966.355538     0.245575   119.760524    61.823950    57.936574    59.352519    59.411456     0.754935   286.666545   280.790623    56.855453     2.915538
      1870.0    -0.977599   286.832176   413.626236   966.000560     0.180770   118.277703    60.886408    57.391295    59.015372    58.660393     0.785332   286.834680   281.082358    56.972565     2.929655
      1871.0     1.219889   286.973666   413.140089   965.640495     0.367866   120.837574    62.630059    58.207514    58.737363    58.377299     0.803680   286.762323   281.031889    57.281296     4.738908
      1872.0     0.594644   287.142720   412.757629   966.407515     0.223134   121.428797    62.793374    58.635423    59.447825    60.214845     0.808629   286.716051   281.003540    57.843010     2.960990
      1873.0    -1.671505   287.335745   411.340386   966.982898     0.290519   116.046211    59.235850    56.810361    58.315350    58.890734     0.806177   286.704599   280.998951    58.336029     1.762359
      1874.0    -0.673744   287.539379   409.437402   966.524844     0.430503   116.614410    60.031467    56.582942    58.273212    57.815158     0.802274   286.592231   280.850295    58.610668     4.119294
      1875.0     1.009620   287.765205   409.541379   965.581228     0.437096   119.542455    61.819599    57.722856    58.221556    57.277940     0.801673   286.519652   280.744869    58.987392     4.437682
      1876.0     0.811894   287.994282   409.254222   965.980276     0.323371   118.809562    61.409518    57.400045    58.100367    58.499415     0.803605   286.532887   280.782821    59.360531     3.197260
      1877.0    -0.483285   288.226643   408.531929   966.063375     0.121842   118.626597    60.632255    57.994342    58.209036    58.292135     0.800740   286.611823   280.953264    59.761166     3.062413
      1878.0    -0.399380   288.464454   407.135196   966.471814     0.457354   117.519630    60.332945    57.186685    58.314186    58.722625     0.800050   286.663856   281.011553    60.079735     3.007053
      1879.0    -1.412253   288.696284   405.384735   966.434324     0.354620   115.287836    58.829170    56.458666    57.818859    57.781369     0.796489   286.755386   281.043171    60.281906     2.798263
      1880.0     1.379600   288.944457   404.512104   965.782936     0.328887   119.919441    62.111943    57.807498    58.289572    57.638185     0.797378   286.659555   280.856567    60.566879     5.346389
      1881.0     2.479532   289.210591   405.854280   965.945912     0.292456   123.585996    64.058793    59.527203    58.900281    59.063257     0.801149   286.615326   280.933963    61.278076     3.653360
      1882.0     0.938904   289.485458   406.590136   965.874590     0.195698   122.491480    63.260379    59.231100    59.594697    59.523375     0.806637   286.595347   280.759942    61.996605     3.001148
      1883.0     0.021292   289.734366   406.828518   965.754618     0.098976   119.090878    61.244987    57.845890    58.326511    58.206538     0.806371   286.673887   280.882642    62.238567     2.800067
      1884.0     0.441879   289.986807   405.368059   966.316074     0.235470   116.263776    60.382830    55.880946    57.312904    57.874361     0.803297   286.372688   280.293083    62.292179     3.968929
      1885.0     2.095694   290.269004   405.094578   967.044561     0.270383   121.965949    63.412946    58.553003    58.456258    59.184744     0.799342   286.425711   280.645816    62.778706     4.501683
      1886.0    -0.081233   290.570573   404.443105   968.088129     0.187289   120.800886    62.308644    58.492242    59.640364    60.683932     0.801292   286.554048   280.746805    63.374378     2.276184
      1887.0    -0.132642   290.886996   402.951024   968.471517     0.217069   119.341736    61.385504    57.956232    58.886595    59.269983     0.800717   286.534898   280.604495    63.827904     3.607602
