        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout
      1895.0     0.910501   293.149710   395.116798   957.613108     0.433249   118.416952    61.112621    57.304331    58.346187    58.133734     0.788477   286.673443   280.860190    66.221107     4.141961
      1896.0     1.138441   293.364463   395.463336   957.140403     0.239024   120.739776    62.105391    58.634385    58.137145    57.664440     0.794163   286.637975   280.841392    66.806030     4.094413
      1897.0     1.640750   293.296867   396.547035   956.803990     0.323968   123.633280    64.105017    59.528263    59.216477    58.880064     0.797401   286.550096   280.709759    67.379562     4.141254
      1898.0    -0.873330   293.109631   397.008105   957.117455     0.176485   121.485926    62.036765    59.449160    59.104382    59.417846     0.798755   286.749383   281.014872    67.768684     2.157850
      1899.0     0.576140   293.474542   396.237636   956.912224     0.320626   119.744104    61.632155    58.111950    58.686002    58.480771     0.797509   286.677920   280.811567    68.190887     3.921853
      1900.0     0.349065   293.644942   395.715578   957.199833     0.264292   120.046319    61.714302    58.332017    58.326953    58.614562     0.829685   286.596623   280.643470    69.215508     3.621797
      1901.0     0.538787   293.829436   394.869248   957.569673     0.471814   118.946362    61.267901    57.678460    58.076279    58.446119     0.852364   286.580317   280.572130    69.971977     3.668113
      1902.0     1.321490   294.021553   394.757493   957.461007     0.386376   121.206884    62.962045    58.244838    58.945580    58.836914     0.859840   286.595581   280.626705    70.911339     4.236886
      1903.0    -0.505965   293.917467   393.966255   958.680750     0.500907   117.059608    60.086702    56.972905    57.231931    58.451673     0.866878   286.525223   280.468091    71.828285     2.426267
      1904.0     0.600612   294.495522   392.301081   958.650258     0.456912   116.595125    59.896749    56.698375    57.211046    57.180555     0.868379   286.611318   280.677901    72.433006     4.381368
      1905.0    -0.020746   294.849814   391.236476   958.998514     0.366706   116.957406    60.201504    56.755902    57.361343    57.709599     0.869219   286.648257   280.902597    73.205444     3.556511
      1906.0     1.899081   295.369058   391.399086   957.874543     0.348223   121.553143    62.743796    58.809347    58.434477    57.310506     0.877960   286.636621   280.871787    73.827393     5.270679
      1907.0     0.740738   295.301986   392.778658   957.301909     0.362121   123.883642    63.638599    60.245043    59.335070    58.762436     0.885895   286.581774   280.716617    75.059120     3.496591
